date,team,pts,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,ortg,drtg,pace,ts,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
2014-10-29,Atlanta Hawks,102.0,40.0,80.0,0.5,13.0,22.0,0.59,9.0,17.0,0.53,10.0,32.0,42.0,26.0,6.0,8.0,19.0,24.0,107.4,114.8,95.0,0.58,65.0,6.3,12.5,0.58,17.8,23.8,0.11
2014-11-01,Atlanta Hawks,102.0,40.0,80.0,0.5,13.0,22.0,0.59,9.0,17.0,0.53,10.0,32.0,42.0,26.0,6.0,8.0,19.0,24.0,107.4,114.8,95.0,0.58,65.0,6.3,12.5,0.58,17.8,23.8,0.11
2014-11-05,Atlanta Hawks,102.0,37.5,74.5,0.5,10.0,21.0,0.47,17.0,25.0,0.64,6.5,33.0,39.5,26.0,8.0,7.0,16.0,22.0,108.4,106.75,94.1,0.6,69.65,8.5,12.35,0.57,15.65,16.05,0.24
2014-11-07,Atlanta Hawks,98.67,37.67,80.33,0.47,9.33,22.33,0.42,14.0,20.33,0.67,7.67,31.0,38.67,26.0,10.0,6.33,15.33,23.0,104.2,103.8,94.73,0.56,69.23,10.53,11.43,0.53,14.63,17.5,0.19
2014-11-08,Atlanta Hawks,103.75,39.0,83.5,0.47,10.25,25.0,0.41,15.5,21.75,0.7,7.5,31.0,38.5,26.5,9.5,5.5,16.25,25.5,104.08,104.42,94.8,0.56,68.2,9.65,9.55,0.53,14.82,16.85,0.19
2014-11-10,Atlanta Hawks,103.6,37.8,83.0,0.46,10.0,24.4,0.41,18.0,24.6,0.71,8.4,30.6,39.0,24.8,9.6,5.4,14.8,23.8,106.3,105.0,93.72,0.55,65.46,9.96,9.22,0.52,13.56,19.06,0.22
2014-11-12,Atlanta Hawks,101.5,36.0,81.0,0.44,10.0,24.83,0.41,19.5,25.17,0.75,8.5,30.33,38.83,24.0,9.17,5.0,15.0,22.5,105.72,103.5,92.85,0.55,66.9,9.62,8.57,0.51,13.98,19.83,0.25
2014-11-14,Atlanta Hawks,101.29,36.43,80.29,0.45,9.86,24.14,0.41,18.57,24.14,0.75,9.14,30.71,39.86,23.86,9.0,4.86,16.0,21.0,106.2,103.83,92.69,0.56,65.77,9.49,8.24,0.52,14.96,22.3,0.24
2014-11-15,Atlanta Hawks,102.88,37.12,79.62,0.47,10.0,24.62,0.41,18.62,24.0,0.76,8.38,31.0,39.38,25.0,9.12,4.88,15.62,20.88,108.24,104.68,92.74,0.57,67.38,9.64,8.39,0.53,14.74,20.76,0.24
2014-11-18,Atlanta Hawks,101.89,37.44,80.78,0.47,9.22,24.33,0.38,17.78,22.78,0.77,8.67,30.44,39.11,25.11,8.78,5.22,16.0,19.89,106.83,107.39,93.37,0.56,67.11,9.24,8.97,0.52,14.94,21.11,0.23
2014-11-21,Atlanta Hawks,102.6,37.8,81.2,0.47,9.2,24.6,0.37,17.8,22.8,0.77,9.1,29.9,39.0,24.8,8.6,5.0,15.5,19.6,108.03,109.08,93.2,0.56,65.77,9.08,8.5,0.52,14.49,21.95,0.23
2014-11-25,Atlanta Hawks,102.27,37.82,81.09,0.47,8.82,24.55,0.36,17.82,23.09,0.76,9.0,30.64,39.64,24.36,8.45,5.0,15.0,19.45,108.11,108.06,92.99,0.56,64.57,8.95,8.46,0.52,14.07,21.77,0.23
2014-11-26,Atlanta Hawks,102.58,37.67,81.42,0.46,8.67,24.58,0.35,18.58,24.0,0.77,9.25,30.67,39.92,23.75,9.08,5.08,14.67,19.75,108.25,107.87,93.28,0.56,63.12,9.59,8.54,0.52,13.73,22.28,0.23
2014-11-28,Atlanta Hawks,103.54,38.0,81.46,0.47,8.77,24.54,0.36,18.77,24.0,0.77,9.23,30.08,39.31,24.31,8.54,5.0,14.62,20.08,109.4,109.95,93.28,0.56,63.95,9.02,8.46,0.52,13.68,22.61,0.24
2014-11-29,Atlanta Hawks,103.29,38.0,81.07,0.47,8.5,24.0,0.35,18.79,23.86,0.78,9.36,30.14,39.5,24.43,8.36,5.14,14.86,19.64,109.58,109.37,93.01,0.57,64.26,8.85,8.63,0.52,13.94,23.11,0.24
2014-12-02,Atlanta Hawks,103.4,38.13,80.67,0.47,8.73,23.93,0.36,18.4,23.33,0.78,9.07,30.73,39.8,24.87,8.33,5.13,14.8,19.47,110.06,107.64,92.8,0.57,65.15,8.85,8.57,0.53,13.99,22.69,0.23
2014-12-03,Atlanta Hawks,103.75,38.44,80.75,0.48,8.88,23.94,0.37,18.0,22.75,0.79,8.75,30.5,39.25,25.56,8.31,5.31,14.88,19.12,110.0,107.48,93.24,0.57,66.31,8.8,8.85,0.53,14.08,21.94,0.23
2014-12-05,Atlanta Hawks,104.24,38.53,80.35,0.48,9.06,24.0,0.38,18.12,22.76,0.79,8.53,30.18,38.71,25.53,8.35,5.06,15.12,19.41,110.54,107.54,93.29,0.58,66.08,8.85,8.45,0.54,14.33,21.6,0.23
2014-12-07,Atlanta Hawks,103.89,38.33,80.39,0.48,9.28,24.56,0.38,17.94,22.83,0.78,8.39,30.72,39.11,25.33,8.56,5.0,14.89,19.56,110.06,105.9,93.44,0.58,65.91,9.05,8.34,0.54,14.13,21.09,0.23
2014-12-08,Atlanta Hawks,103.47,38.21,80.74,0.47,9.32,24.68,0.38,17.74,22.63,0.78,8.53,30.79,39.32,25.37,8.58,4.95,14.74,19.32,109.73,105.11,93.39,0.57,66.24,9.08,8.27,0.53,13.97,21.22,0.22
2014-12-10,Atlanta Hawks,103.7,38.3,80.55,0.48,9.3,24.5,0.38,17.8,22.85,0.78,8.4,31.3,39.7,25.45,8.7,5.05,14.8,19.35,109.72,104.51,93.66,0.57,66.3,9.18,8.47,0.54,14.04,20.9,0.22
2014-12-12,Atlanta Hawks,103.29,38.29,81.05,0.47,9.33,24.76,0.38,17.38,22.38,0.77,8.76,31.52,40.29,25.48,9.0,4.86,14.95,19.19,109.33,103.56,93.65,0.57,66.4,9.51,8.17,0.53,14.12,21.5,0.22
2014-12-13,Atlanta Hawks,102.55,37.86,80.91,0.47,9.32,24.95,0.37,17.5,22.59,0.77,8.59,31.77,40.36,25.41,9.14,4.77,14.82,18.86,108.59,102.79,93.65,0.57,67.15,9.66,8.06,0.53,14.01,21.06,0.22
2014-12-15,Atlanta Hawks,102.39,37.74,81.04,0.47,9.26,25.04,0.37,17.65,22.65,0.78,8.61,31.78,40.39,25.35,8.91,4.74,14.65,18.87,108.59,103.09,93.54,0.56,67.21,9.43,8.04,0.52,13.86,21.17,0.22
