date,home_team,away_team,winning_team
2014-10-28,New Orleans Pelicans,Orlando Magic,0
2014-10-28,San Antonio Spurs,Dallas Mavericks,0
2014-10-28,Los Angeles Lakers,Houston Rockets,1
2014-10-29,Charlotte Hornets,Milwaukee Bucks,0
2014-10-29,Indiana Pacers,Philadelphia 76ers,0
2014-10-29,Toronto Raptors,Atlanta Hawks,0
2014-10-29,Miami Heat,Washington Wizards,0
2014-10-29,Boston Celtics,Brooklyn Nets,0
2014-10-29,New York Knicks,Chicago Bulls,1
2014-10-29,Memphis Grizzlies,Minnesota Timberwolves,0
2014-10-29,Denver Nuggets,Detroit Pistons,0
2014-10-29,Utah Jazz,Houston Rockets,1
2014-10-29,Phoenix Suns,Los Angeles Lakers,0
2014-10-29,Sacramento Kings,Golden State Warriors,1
2014-10-29,Portland Trail Blazers,Oklahoma City Thunder,0
2014-10-30,Orlando Magic,Washington Wizards,1
2014-10-30,Cleveland Cavaliers,New York Knicks,1
2014-10-30,Minnesota Timberwolves,Detroit Pistons,0
2014-10-30,Dallas Mavericks,Utah Jazz,0
2014-10-30,Los Angeles Clippers,Oklahoma City Thunder,0
2014-10-31,Indiana Pacers,Memphis Grizzlies,1
2014-10-31,Chicago Bulls,Cleveland Cavaliers,1
2014-10-31,Milwaukee Bucks,Philadelphia 76ers,0
2014-10-31,Phoenix Suns,San Antonio Spurs,0
2014-10-31,Sacramento Kings,Portland Trail Blazers,0
2014-10-31,Los Angeles Lakers,Los Angeles Clippers,1
2014-11-01,Charlotte Hornets,Memphis Grizzlies,1
2014-11-01,New Orleans Pelicans,Dallas Mavericks,1
2014-11-01,Orlando Magic,Toronto Raptors,1
2014-11-01,Philadelphia 76ers,Miami Heat,1
2014-11-01,Washington Wizards,Milwaukee Bucks,0
2014-11-01,Atlanta Hawks,Indiana Pacers,0
2014-11-01,Detroit Pistons,Brooklyn Nets,1
2014-11-01,Houston Rockets,Boston Celtics,0
2014-11-01,Minnesota Timberwolves,Chicago Bulls,1
2014-11-01,Oklahoma City Thunder,Denver Nuggets,0
2014-11-01,Utah Jazz,Phoenix Suns,0
2014-11-01,Golden State Warriors,Los Angeles Lakers,0
2014-11-02,Los Angeles Clippers,Sacramento Kings,1
2014-11-02,Miami Heat,Toronto Raptors,0
2014-11-02,New York Knicks,Charlotte Hornets,0
2014-11-02,Portland Trail Blazers,Golden State Warriors,1
2014-11-03,Philadelphia 76ers,Houston Rockets,1
2014-11-03,Brooklyn Nets,Oklahoma City Thunder,0
2014-11-03,Memphis Grizzlies,New Orleans Pelicans,0
2014-11-03,Dallas Mavericks,Boston Celtics,0
2014-11-03,Denver Nuggets,Sacramento Kings,1
2014-11-03,Los Angeles Clippers,Utah Jazz,0
2014-11-04,Indiana Pacers,Milwaukee Bucks,1
2014-11-04,Miami Heat,Houston Rockets,1
2014-11-04,New York Knicks,Washington Wizards,1
2014-11-04,Toronto Raptors,Oklahoma City Thunder,0
2014-11-04,Chicago Bulls,Orlando Magic,0
2014-11-04,New Orleans Pelicans,Charlotte Hornets,0
2014-11-04,Portland Trail Blazers,Cleveland Cavaliers,0
2014-11-04,Los Angeles Lakers,Phoenix Suns,1
2014-11-05,Charlotte Hornets,Miami Heat,0
2014-11-05,Philadelphia 76ers,Orlando Magic,1
2014-11-05,Boston Celtics,Toronto Raptors,1
